gender,education,age,political_ideology,household_income,marital_status,religion,race
2,5,78,2,20,1,1,1
2,5,76,4,22,3,1,2
2,3,46,6,1,1,2,1
2,2,31,99,15,6,12,1
2,3,29,4,17,6,11,2
2,3,69,6,7,3,2,3
2,2,34,1,10,6,12,1
1,3,23,99,4,6,12,1
1,5,61,99,9,1,5,1
1,5,57,2,21,1,12,1
2,5,33,7,1,1,1,1
2,4,-9,4,-9,1,1,1
1,5,71,3,11,4,2,1
1,4,50,6,19,1,1,1
2,2,71,4,-9,1,1,1
2,-2,70,4,9,4,1,1
1,2,22,5,10,6,12,3
1,3,24,3,17,6,2,3
2,3,40,99,4,6,6,2
1,4,49,2,20,1,9,1
2,5,56,4,17,6,1,1
1,2,59,6,13,1,1,3
1,3,63,7,19,1,11,1
1,5,73,2,17,1,12,1
2,4,56,3,20,1,1,1
1,4,41,4,22,1,11,1
2,3,48,99,16,1,12,1
2,1,80,99,22,1,1,1
2,3,36,1,11,6,12,2
2,4,64,4,10,6,1,6
1,3,28,6,17,1,2,1
1,3,21,3,1,6,12,1
1,3,61,5,15,1,10,1
1,3,65,2,2,6,2,1
2,3,35,5,10,6,11,1
1,4,31,99,15,1,9,1
2,3,24,99,7,6,11,6
2,2,37,4,4,5,11,1
1,2,53,4,12,1,12,1
2,4,34,2,10,1,11,1
1,5,60,4,10,4,9,4
1,3,66,4,13,1,1,1
1,2,70,99,16,1,2,1
2,5,51,4,18,4,12,1
2,2,44,4,11,6,11,1
2,5,60,4,15,1,1,2
1,3,34,7,12,1,3,5
1,3,53,6,19,6,1,1
2,4,37,2,18,1,12,1
2,3,56,4,12,4,2,1
2,3,46,2,7,6,12,1
2,3,38,3,22,1,2,4
2,1,63,3,15,4,11,6
1,4,29,2,3,6,12,1
1,2,41,99,10,1,2,3
1,4,54,4,-9,1,-9,1
2,4,79,7,14,1,11,1
2,3,31,4,1,6,12,1
1,3,50,6,-9,1,10,1
2,4,64,2,11,4,12,1
2,-2,80,5,-9,3,11,1
1,5,60,4,17,1,12,1
2,5,28,3,17,1,1,3
2,2,46,99,12,1,12,3
2,5,66,2,12,1,1,1
1,1,63,99,1,1,7,2
2,3,38,4,1,1,2,1
2,3,59,6,5,3,1,1
1,5,64,6,16,6,10,1
1,5,72,7,2,4,1,1
1,4,68,1,1,6,11,1
2,2,28,4,5,6,3,1
1,3,27,2,9,6,10,1
2,4,62,2,18,1,9,1
1,5,70,5,15,1,1,1
2,3,29,2,8,6,10,1
1,1,62,99,13,1,12,2
2,4,60,99,19,4,2,1
2,5,69,6,17,1,2,1
-9,5,58,4,21,6,9,1
2,3,47,5,14,1,1,1
2,4,53,4,11,1,2,1
1,4,72,99,9,4,12,1
2,3,35,2,4,5,11,1
2,4,62,7,6,4,11,1
2,3,73,2,-9,4,1,1
1,3,28,7,11,1,11,1
2,4,57,4,20,1,1,1
1,5,29,5,19,1,1,1
1,3,39,3,5,1,10,1
2,5,55,2,15,1,11,6
2,2,42,4,3,4,3,1
2,3,67,7,13,1,1,1
1,4,58,6,22,4,2,1
1,4,67,6,11,1,1,1
2,5,58,7,-9,1,1,1
1,4,25,2,13,6,1,1
2,5,73,2,6,4,11,2
2,5,30,99,10,6,12,2
1,3,38,7,15,1,11,1
2,3,64,6,17,1,1,1
2,4,40,3,18,1,10,1
2,4,-9,5,1,4,1,1
1,5,51,6,19,1,1,1
1,3,61,99,2,5,11,1
1,3,59,2,20,1,1,2
2,4,58,4,7,6,1,3
1,2,53,6,10,6,2,5
2,3,75,4,1,3,1,1
2,4,37,3,19,1,12,1
1,4,77,6,5,1,1,1
2,1,-9,99,-9,4,11,1
2,3,68,7,-9,1,2,1
1,4,66,99,12,1,2,1
2,3,43,99,2,4,11,2
1,3,72,4,20,1,-9,1
2,5,50,5,22,1,2,1
2,5,58,2,6,1,5,1
1,5,28,3,11,1,1,1
2,3,59,4,10,4,2,1
2,2,72,7,20,1,2,1
2,4,29,3,2,6,1,1
1,4,60,2,15,1,5,3
1,3,66,4,13,1,1,1
1,4,56,2,10,1,1,1
1,5,40,6,21,1,4,6
2,4,45,5,1,1,5,1
2,4,51,6,15,1,1,1
2,4,68,4,10,1,12,1
1,4,22,5,21,6,2,1
2,4,40,5,1,1,1,1
2,3,63,3,7,4,1,1
2,5,59,2,-9,1,11,1
2,2,53,6,-9,4,12,3
1,2,80,99,5,1,12,1
2,3,67,7,18,1,2,1
1,4,35,99,18,1,2,1
1,3,69,4,10,1,10,1
2,4,80,6,14,1,1,1
1,3,62,7,20,1,1,1
2,2,38,99,4,4,11,1
2,3,71,99,17,1,11,1
1,3,80,6,14,3,1,1
2,4,61,4,22,1,5,1
1,4,65,6,19,1,1,1
1,3,30,99,1,6,12,1
2,5,38,99,1,4,11,6
2,1,80,99,-9,3,2,1
1,4,80,2,18,1,9,1
2,3,-9,5,-9,1,2,1
2,3,65,6,10,4,1,1
1,4,48,2,14,1,10,1
2,5,38,1,18,1,9,1
1,5,-9,5,22,1,9,1
2,5,67,3,20,1,1,1
2,3,80,99,14,3,2,2
2,3,33,4,11,1,10,1
2,2,76,6,11,1,1,1
2,3,43,99,2,6,11,2
2,5,32,2,1,6,3,2
2,3,41,6,11,1,2,1
1,2,80,7,18,1,2,1
2,5,45,3,15,4,11,2
2,5,56,2,21,1,10,1
1,2,68,4,7,1,-9,1
1,4,73,4,18,1,9,1
2,4,69,4,6,4,1,1
2,2,73,3,10,1,10,1
1,4,43,6,1,4,10,1
1,1,48,4,4,1,11,3
2,3,62,4,22,4,2,5
1,4,41,3,22,1,11,1
1,2,20,4,6,1,3,3
2,4,63,6,2,3,1,1
2,5,34,4,16,1,2,1
2,2,80,99,6,1,12,4
1,4,76,6,5,3,1,1
1,5,44,7,20,4,1,1
2,4,51,3,11,6,11,6
2,3,69,3,7,6,2,1
1,3,27,6,13,6,1,1
2,3,48,6,15,1,1,1
2,3,74,4,2,3,12,1
2,3,72,5,20,1,10,1
2,3,60,6,10,1,1,1
1,4,32,2,18,1,12,1
2,3,70,5,1,1,2,1
1,4,50,6,21,1,1,1
1,2,59,99,11,6,2,1
1,5,52,5,22,6,7,1
2,4,67,5,22,1,1,1
2,4,60,5,21,3,2,1
1,4,24,3,22,6,12,1
1,2,31,3,15,6,9,3
1,2,39,6,15,1,11,1
1,2,73,4,5,1,7,4
2,3,43,99,6,6,11,6
1,5,28,6,21,6,9,1
1,5,70,3,21,1,1,1
1,3,72,2,8,1,1,1
1,5,59,3,21,1,2,3
1,2,35,99,6,6,9,1
2,2,26,7,6,1,11,1
2,2,80,4,4,3,2,1
2,5,76,4,1,1,12,1
1,3,31,99,4,6,12,1
1,4,24,4,10,6,12,3
1,4,53,2,10,1,1,1
2,5,55,4,15,6,11,2
2,5,39,1,19,4,10,4
1,5,32,99,19,1,2,5
2,3,80,99,2,3,2,1
1,3,45,99,10,1,2,3
1,2,40,7,5,1,12,1
1,4,64,99,1,4,-9,1
2,4,40,3,21,1,12,1
1,5,52,3,22,1,5,1
2,3,67,2,19,1,2,1
1,5,72,3,16,1,1,1
1,4,-9,7,15,1,1,1
1,1,79,99,4,3,1,1
2,4,67,3,-9,1,2,1
1,3,24,3,10,5,12,3
2,3,43,1,1,6,12,5
2,4,52,6,16,4,11,1
2,2,-9,7,10,4,1,1
1,1,62,2,7,1,2,3
1,3,50,6,21,1,1,4
1,3,28,99,15,5,11,1
1,4,62,6,4,4,1,1
2,2,73,6,4,3,1,1
1,3,33,6,20,1,10,1
2,5,42,3,19,1,10,1
1,4,36,2,16,1,11,1
2,1,41,5,10,1,12,3
2,3,51,99,2,6,11,2
2,5,30,4,1,1,12,1
2,4,-9,99,8,6,11,2
1,4,48,7,21,6,1,1
2,3,66,5,17,1,1,5
2,1,80,7,1,3,2,3
2,3,49,5,10,1,2,1
2,4,30,6,18,1,11,1
2,4,70,3,14,1,1,4
1,5,65,2,4,4,1,1
2,5,57,4,19,4,11,1
2,3,71,2,4,4,2,1
2,4,31,2,21,6,11,6
2,4,40,99,15,6,2,3
1,5,66,99,7,1,1,1
2,2,45,99,1,6,12,2
2,4,68,4,8,6,1,1
2,4,76,99,-9,3,1,2
2,3,80,99,6,1,1,1
2,4,34,6,16,1,11,1
2,3,44,6,4,5,1,1
1,3,70,4,7,1,2,1
2,-2,-9,3,10,3,2,6
1,2,71,6,4,3,1,1
2,3,37,99,10,4,12,2
1,4,31,6,9,4,11,1
2,3,61,5,11,1,1,3
1,2,43,7,5,1,1,1
2,3,53,4,16,1,1,1
2,2,73,4,7,3,2,1
2,4,38,7,10,1,11,1
2,3,73,2,4,1,11,1
2,2,31,99,10,6,12,1
2,4,69,6,14,1,1,1
2,5,-9,5,10,6,1,1
2,3,45,5,18,1,2,1
2,3,41,99,7,6,12,2
1,3,66,6,2,6,1,1
1,3,41,1,2,4,1,1
2,3,62,99,1,1,2,1
1,4,31,4,3,6,12,6
2,3,80,6,22,3,11,1
2,3,46,7,16,1,2,1
1,4,70,7,15,3,4,1
2,1,21,4,-9,6,2,3
2,4,77,6,19,1,1,1
1,3,66,6,7,1,11,5
2,3,33,99,4,6,1,1
1,4,46,2,4,6,1,1
2,2,36,99,1,6,11,2
2,2,68,99,-9,1,12,4
2,4,71,99,1,6,12,2
1,3,37,4,21,1,4,1
1,5,30,6,21,6,11,2
1,4,79,4,13,1,9,1
1,5,78,2,19,1,1,6
1,5,47,5,22,1,1,4
2,2,72,2,17,1,1,1
2,2,71,99,14,1,2,1
1,5,36,5,21,1,1,1
1,5,35,5,22,1,1,1
2,2,56,99,-9,1,2,3
1,1,64,4,5,4,1,1
1,2,41,3,6,6,9,1
1,3,50,4,18,1,12,1
2,3,77,7,1,1,1,1
2,3,-9,4,17,1,11,6
2,3,31,7,19,1,3,1
1,4,61,3,5,4,9,1
2,5,62,2,20,1,1,1
1,1,57,6,17,1,11,1
1,5,63,3,4,4,12,1
1,1,75,99,1,4,1,1
2,2,52,5,9,1,2,1
2,5,64,3,18,1,1,6
1,3,41,5,20,1,1,3
1,3,51,6,16,1,1,1
1,2,45,6,10,1,12,1
2,3,68,4,1,1,2,3
1,5,73,6,11,3,1,1
1,5,65,5,-9,1,7,1
1,4,52,7,16,1,1,1
1,3,64,99,4,1,11,3
1,3,71,6,10,4,10,1
2,4,38,4,13,1,1,5
2,2,24,3,3,6,12,1
2,3,66,4,17,1,2,2
2,2,50,99,1,4,11,2
1,4,49,1,3,6,1,1
2,5,40,2,22,1,8,4
1,3,73,7,12,1,1,1
1,2,65,4,8,4,10,1
2,-2,34,4,14,1,11,1
2,5,53,3,22,1,2,1
2,4,39,3,21,1,1,1
1,2,71,3,8,1,10,1
2,3,33,5,14,1,2,3
1,5,34,2,22,1,12,1
2,4,59,6,16,4,1,1
2,1,72,99,-9,1,12,1
2,2,52,3,13,1,2,1
1,5,53,7,12,1,2,1
1,5,35,4,21,1,3,1
2,4,68,5,12,4,1,1
1,5,54,3,21,4,12,4
2,2,74,99,2,4,2,1
2,3,67,6,1,4,2,1
1,3,46,5,18,1,2,1
1,4,57,6,7,4,2,1
2,2,34,4,1,6,4,2
2,2,56,3,12,1,11,1
2,3,77,3,1,4,2,1
1,3,43,5,6,4,1,3
2,3,66,3,10,3,12,1
1,5,-9,4,-9,6,1,1
1,3,60,6,21,1,1,1
1,4,39,6,17,1,2,1
2,4,39,5,21,1,1,1
2,2,-9,6,-9,1,2,1
2,3,53,2,1,4,11,2
2,5,71,2,19,1,5,1
2,4,76,6,1,1,1,1
1,1,80,6,10,1,2,1
2,3,76,99,4,3,1,1
1,4,-9,6,-9,1,11,1
1,4,49,5,15,4,10,5
1,5,37,5,20,1,2,3
2,3,80,5,7,3,2,1
2,2,72,4,17,1,11,1
1,2,51,7,1,6,4,1
1,4,70,4,15,1,1,1
2,3,45,99,5,4,11,2
2,4,31,1,21,1,10,1
1,5,72,2,13,1,1,1
1,5,71,6,-9,1,2,1
1,3,67,7,20,1,11,6
2,5,36,5,14,1,1,1
1,5,58,5,17,1,2,1
1,3,64,5,14,1,12,1
1,2,34,4,1,4,2,3
2,5,36,1,20,1,9,6
1,2,44,99,18,1,11,3
2,5,54,5,22,1,2,1
1,5,28,3,17,6,9,1
1,2,-9,4,13,4,12,-9
2,3,77,6,-9,5,2,1
1,5,70,7,9,1,12,1
2,1,28,3,1,4,11,1
2,5,30,4,17,6,10,3
1,3,37,1,10,6,9,1
2,2,45,6,16,1,2,1
1,4,68,2,19,1,9,1
2,3,80,5,10,1,10,1
2,2,41,4,13,1,12,4
2,5,32,1,22,1,11,1
1,4,24,4,12,1,1,1
2,5,-9,3,21,1,12,1
1,1,42,99,10,4,1,2
2,5,26,5,10,6,12,1
1,5,50,2,18,1,1,1
1,5,46,4,19,1,3,1
1,3,52,99,8,1,12,2
2,3,35,99,1,6,11,1
1,3,76,99,17,1,1,1
2,3,63,2,18,4,10,1
1,4,39,4,18,1,1,3
1,4,28,6,21,1,6,4
1,3,66,3,10,1,1,1
2,5,45,3,9,4,1,1
1,5,69,1,12,1,1,1
1,1,59,6,16,1,1,1
1,3,79,4,20,1,1,1
2,3,80,6,5,1,12,1
1,4,38,4,21,1,9,1
2,-2,74,3,12,1,1,1
2,3,54,5,17,4,1,2
2,5,45,2,2,4,10,1
2,3,42,4,15,1,12,1
1,4,75,7,-9,1,1,1
2,2,33,99,6,1,12,1
1,3,40,4,2,6,12,3
2,3,56,99,15,4,3,1
1,3,44,4,11,6,10,1
2,2,80,99,16,3,2,3
2,3,25,1,15,6,12,1
1,2,26,99,14,6,2,1
1,4,75,3,18,1,10,1
2,2,68,99,21,1,1,1
1,3,27,4,6,1,12,1
2,3,46,2,15,1,2,3
1,3,71,6,8,1,1,1
2,5,49,2,22,1,12,1
1,2,57,99,-9,1,12,2
2,4,80,5,15,1,1,1
2,3,66,6,10,1,1,1
2,3,43,6,17,4,4,3
2,3,55,2,10,6,11,1
1,5,64,5,13,3,1,1
1,5,80,4,10,1,12,1
2,3,57,2,8,4,2,5
2,3,32,3,10,6,11,2
1,2,53,99,15,1,12,1
2,4,68,6,14,1,2,1
2,4,67,4,16,6,1,1
2,4,26,6,16,1,12,1
2,1,50,99,1,3,11,2
2,3,33,4,2,6,12,5
2,4,58,3,9,6,4,1
2,-2,36,2,17,1,9,1
2,2,46,99,22,6,11,2
2,2,30,99,5,6,11,6
1,5,78,3,-9,1,12,1
2,1,70,99,2,4,12,2
2,3,53,5,18,1,11,1
2,5,59,3,22,4,1,6
1,4,39,6,15,6,1,1
2,3,46,4,8,6,1,6
2,1,69,6,2,3,1,1
1,4,80,5,15,1,11,1
2,5,31,2,22,6,9,1
1,5,49,6,20,1,1,1
1,3,41,3,15,1,2,1
1,3,58,4,7,6,11,2
1,5,32,2,21,6,10,3
1,3,22,4,16,6,3,3
1,4,59,5,18,1,2,1
1,4,29,2,8,6,2,1
2,3,69,6,19,1,2,1
1,3,39,99,1,6,12,1
1,3,39,2,12,1,9,1
2,2,64,99,3,3,11,1
2,5,53,99,21,1,1,1
1,2,65,7,10,1,1,1
1,2,36,5,4,6,2,3
2,5,76,-9,21,3,1,1
2,4,59,4,19,1,1,2
1,5,51,7,15,1,2,4
1,3,49,5,21,1,7,6
1,4,29,2,7,6,12,1
1,4,29,99,15,6,9,4
1,3,47,4,10,1,12,3
2,5,64,1,17,1,5,1
1,3,66,1,2,4,6,5
2,3,35,2,10,1,11,1
1,2,80,7,7,4,1,1
1,2,59,6,22,1,2,1
2,4,74,6,16,1,2,1
1,3,73,6,9,1,1,1
1,5,29,2,21,6,2,3
2,3,80,5,-9,-9,2,-9
1,4,-9,7,-9,1,1,3
2,5,-9,1,-9,-9,11,1
1,3,54,7,10,6,12,1
1,4,-9,6,21,1,4,1
1,3,43,4,4,1,12,2
2,1,80,4,7,3,11,1
2,4,55,4,13,1,5,1
2,5,51,99,17,4,2,1
1,3,46,2,17,5,12,2
2,5,38,6,17,1,1,1
2,5,62,2,12,1,10,1
1,3,60,6,-9,3,2,1
1,2,43,4,2,6,11,2
1,3,72,4,20,1,2,3
2,2,80,2,7,4,12,3
2,3,23,2,14,1,2,3
1,4,68,6,17,4,1,1
2,4,57,6,4,4,1,1
1,4,-9,6,20,1,1,1
1,1,52,99,1,3,11,3
2,-2,69,6,16,1,1,1
2,3,-9,5,1,4,11,1
1,4,39,4,11,1,1,1
1,4,72,7,10,1,7,4
2,3,27,6,7,1,1,1
2,5,38,99,12,6,11,2
1,5,49,5,22,1,1,6
2,1,-9,99,-9,1,3,2
2,3,68,4,4,4,11,3
2,4,40,4,21,6,12,4
1,5,49,5,22,1,2,4
2,3,26,99,16,6,12,1
2,5,34,3,21,1,2,4
1,3,51,7,11,4,1,1
2,2,23,7,8,1,11,1
2,3,80,6,6,4,2,3
2,5,25,3,8,6,2,6
2,4,80,4,22,3,2,1
2,3,43,6,9,1,11,6
1,4,59,6,20,1,2,1
1,4,49,3,17,1,1,2
1,3,32,6,18,1,2,1
2,4,69,2,16,4,7,1
2,2,80,6,1,3,1,1
2,1,45,99,1,6,12,1
1,4,43,3,20,1,11,2
2,2,69,99,4,4,12,1
1,2,80,7,4,1,2,6
2,3,55,1,11,4,2,1
2,5,75,2,2,1,11,1
1,3,60,4,12,6,12,1
1,3,75,3,9,6,2,1
1,2,69,99,5,1,2,1
2,4,60,6,14,1,1,1
2,3,59,2,-9,4,12,1
2,4,26,1,1,6,9,1
2,3,64,4,3,4,10,1
2,4,64,99,1,6,-9,-9
1,3,62,6,13,4,2,1
2,2,46,99,3,1,11,2
2,4,72,7,9,3,12,1
1,4,53,7,20,1,1,1
1,2,33,6,1,6,9,1
1,2,61,4,7,1,11,1
2,3,24,4,13,1,11,3
1,3,58,6,13,1,12,1
2,3,47,4,6,4,9,1
1,5,63,99,16,6,1,6
1,4,64,6,-9,1,1,1
2,3,55,6,13,1,1,1
2,3,41,99,16,1,11,2
2,3,68,4,10,4,11,1
2,3,80,6,13,3,1,1
2,2,25,1,-9,6,11,3
2,5,66,7,17,4,11,1
1,4,63,5,12,4,2,1
2,3,34,99,6,6,1,2
1,2,55,4,17,1,11,1
1,4,73,6,10,3,2,1
1,5,80,6,18,1,1,1
2,5,45,1,15,1,11,1
1,5,50,4,21,1,2,1
2,3,54,6,18,3,2,1
1,3,70,6,13,1,2,1
2,4,28,2,18,1,10,1
2,5,43,3,14,4,2,1
1,3,76,6,2,4,2,1
1,4,39,3,21,1,7,1
1,3,50,6,16,4,3,1
2,4,74,3,3,6,2,1
2,4,27,2,2,6,12,1
1,4,76,3,9,4,11,1
1,1,33,6,13,1,11,1
1,5,56,6,22,4,12,1
1,3,71,6,7,6,10,1
1,5,69,7,14,1,1,1
2,3,48,6,5,1,12,1
1,5,57,2,16,6,5,1
2,5,63,1,8,3,12,1
2,3,80,99,9,3,11,2
2,5,38,2,21,1,10,1
2,3,80,2,8,3,10,1
2,3,71,7,5,4,2,1
2,2,58,99,6,3,11,2
2,3,66,7,15,4,11,1
1,3,45,7,20,1,1,1
2,2,31,2,15,6,10,3
2,3,49,6,20,1,1,1
2,2,80,2,1,3,1,1
2,2,-9,4,21,1,2,1
2,5,61,3,21,1,1,1
2,4,26,4,11,1,12,1
2,4,45,3,17,6,11,5
2,5,32,4,16,6,10,1
2,5,51,2,21,1,12,4
2,4,35,6,15,1,1,1
1,4,56,6,22,4,2,1
1,4,46,2,13,1,12,1
2,3,35,99,15,1,1,1
1,3,42,99,1,6,12,3
1,3,54,99,1,6,12,1
2,3,-9,6,-9,1,1,1
1,3,23,5,21,6,10,5
2,4,33,3,20,6,11,1
2,5,73,2,10,4,5,1
2,5,54,6,10,4,11,3
2,3,36,2,7,6,10,3
1,2,25,5,11,1,5,3
2,4,80,3,5,3,1,1
1,5,69,5,15,4,1,1
2,4,61,6,17,1,2,1
2,3,55,99,2,3,2,3
2,2,79,2,-9,1,1,1
1,2,80,5,5,1,2,3
1,4,-9,4,-9,6,2,1
2,2,60,99,13,5,11,1
1,4,43,4,18,1,12,1
2,2,41,4,6,1,2,3
1,4,36,6,18,1,2,1
1,3,73,4,5,4,2,1
2,5,75,4,4,4,12,1
1,3,62,99,21,1,2,1
1,4,73,6,20,1,1,1
1,5,33,6,19,1,9,1
1,4,80,6,8,4,1,6
1,3,26,2,11,1,6,1
1,3,52,6,17,1,1,1
2,4,41,6,1,1,2,1
2,3,67,99,6,3,2,1
1,3,65,99,-9,1,5,1
1,2,69,2,11,4,5,1
1,2,59,4,6,1,2,1
1,4,59,4,18,4,1,1
2,2,80,6,4,3,1,1
1,2,70,99,17,1,12,1
2,5,58,2,22,1,1,1
1,3,29,6,15,6,5,1
1,3,-9,4,-9,1,11,5
2,5,41,4,19,1,10,1
2,3,35,99,1,6,11,2
1,4,36,4,20,1,1,4
2,4,34,99,12,4,10,1
2,4,53,99,13,6,11,1
1,4,52,3,15,1,12,1
2,2,24,1,-9,6,10,1
2,2,41,4,4,6,12,2
2,3,76,2,2,3,12,1
2,5,74,2,15,1,7,1
2,2,79,3,4,3,11,2
2,3,48,1,3,4,11,1
2,3,62,6,19,1,2,3
1,4,54,99,2,1,11,2
1,3,71,99,22,1,11,2
2,4,40,2,12,4,11,1
2,5,36,6,17,1,11,3
2,4,48,3,7,4,1,1
1,2,34,5,2,6,11,1
1,3,58,1,22,1,1,1
2,5,49,2,14,6,2,1
1,2,67,4,10,4,6,1
1,3,57,5,4,4,11,6
2,1,29,6,10,1,12,3
1,3,37,1,10,1,12,1
1,1,79,7,17,1,2,1
1,-2,33,3,17,1,9,1
2,2,65,7,22,4,1,1
1,2,55,6,-9,3,1,2
2,3,68,2,6,6,10,1
1,1,39,5,7,1,12,3
2,5,80,6,14,1,2,1
1,4,50,4,18,1,2,1
